Month,Year,Mkt_Index
1,2006,36
2,2006,32
3,2006,37
4,2006,32
5,2006,29
6,2006,25
7,2006,20
8,2006,16
9,2006,16
10,2006,18
11,2006,15
12,2006,22
1,2007,24
2,2007,27
3,2007,27
4,2007,22
5,2007,22
6,2007,20
7,2007,19
8,2007,14
9,2007,13
10,2007,14
11,2007,13
12,2007,15
1,2008,16
2,2008,16
3,2008,16
4,2008,15
5,2008,12
6,2008,16
7,2008,10
8,2008,13
9,2008,15
10,2008,13
11,2008,7
12,2008,6
1,2009,6
2,2009,8
3,2009,8
4,2009,14
5,2009,14
6,2009,14
7,2009,14
8,2009,16
9,2009,19
10,2009,17
11,2009,14
12,2009,12
1,2010,11
2,2010,13
3,2010,10
4,2010,15
5,2010,17
6,2010,14
7,2010,15
8,2010,15
9,2010,12
10,2010,13
11,2010,17
12,2010,13